NPDESID_PFID,NPDES_ID,PERMITTING_STATE,AGENCY_TYPE_CODE,FACILITY_UIN,FACILITY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_ADDRESS_TEXT,FACILITY_CITY,COUNTY_CODE,STATE_CODE,EPA_REGION_CODE,FACILITY_TYPE_CODE,FACILITY_LAT,FACILITY_LON,PERMIT_NAME,VERSION_NMBR,PERMIT_TYPE_CODE,EFFECTIVE_DATE,EXPIRATION_DATE,PERMIT_STATUS_CODE,FACILITY_TYPE_INDICATOR,MAJOR_MINOR_STATUS_FLAG,PERMIT_TRACKING,PT_START_DATE,DMR_TRACKING,DMR_NR_START_DATE,PERMIT_DESIGN_FLOW,PERMIT_AVG_FLOW,PERM_FEATURE_NMBR,PERM_FEATURE_TEXT,PF_LAT,PF_LON,PF_CHARACTER,PERM_FEATURE_TYPE_CODE,PF_STATE_WATERBODY_NAME,PF_STATE_AUTO_NAME,PF_REACH_ID,IN_ICIS,ECHO_DFR_LINK
AK0023213002,AK0023213,AK,ST6,1.10011E+11,JUNEAU DOUGLAS WW TREATMENT FACILITY,1540 THANE RD,,JUNEAU,AK110,AK,10,CNG,58.2869,-134.384,Brian McGuire - City & Borough of Juneau,0,NPD,3/1/21,2/28/26,EFF,POTW,M,Y,3/1/21,Y,3/1/21,,,2,N-11 (P) Sta A Foodland,58.3000526,-134.417196,CSO,EXO,Gastineau Channel,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110010680423
AK0023213003,AK0023213,AK,ST6,1.10011E+11,JUNEAU DOUGLAS WW TREATMENT FACILITY,1540 THANE RD,,JUNEAU,AK110,AK,10,CNG,58.2869,-134.384,Brian McGuire - City & Borough of Juneau,0,NPD,3/1/21,2/28/26,EFF,POTW,M,Y,3/1/21,Y,3/1/21,,,3,N11.2 (P) Sta C Marine Way,58.299956,-134.406599,CSO,EXO,Gastineau Channel,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110010680423
AK0023213004,AK0023213,AK,ST6,1.10011E+11,JUNEAU DOUGLAS WW TREATMENT FACILITY,1540 THANE RD,,JUNEAU,AK110,AK,10,CNG,58.2869,-134.384,Brian McGuire - City & Borough of Juneau,0,NPD,3/1/21,2/28/26,EFF,POTW,M,Y,3/1/21,Y,3/1/21,,,4,N-15.1 (R) Douglas,58.277201,-134.392257,CSO,EXO,Gastineau Channel,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110010680423
CA0037664009,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,9,,37.808056,-122.446667,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664010,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,10,Equivalent-to-Primary-Treated Effluent (Wet Weather),37.806944,-122.44,TCS,EXO,Marina Beach North Shore Drainage Basin,Richardson Bay-San Francisco Bay,1.805E+13,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664011,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,11,,37.80611,-122.38,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664013,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,13,,37.808334,-122.4067,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664015,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,15,,37.806667,-122.4031,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664017,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,17,,37.798332,-122.3947,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664018,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,18,,37.793056,-122.39,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664019,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,19,,37.785278,-122.39,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664022,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,22,,37.777222,-122.3894,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664023,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,23,,37.775555,-122.3914,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664024,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,24,,37.773888,-122.3939,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
