"","FACILITY_NAME","LOCATION_ADDRESS","FACILITY_CITY","STATE_CODE","PERMIT_DESIGN_FLOW","PERMIT_AVG_FLOW","SF","SN_C","geometry"
"1","JUNEAU DOUGLAS WW TREATMENT FACILITY","1540 THANE RD","JUNEAU","AK",NA,NA,NA,NA,c(-134.417196, 58.3000526)
"2","JUNEAU DOUGLAS WW TREATMENT FACILITY","1540 THANE RD","JUNEAU","AK",NA,NA,NA,NA,c(-134.406599, 58.299956)
"3","JUNEAU DOUGLAS WW TREATMENT FACILITY","1540 THANE RD","JUNEAU","AK",NA,NA,NA,NA,c(-134.392257, 58.277201)
"4","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.446667, 37.808056)
"5","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.44, 37.806944)
"6","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,"California",1,c(-122.38, 37.80611)
"7","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,"California",1,c(-122.4067, 37.808334)
"8","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,"California",1,c(-122.4031, 37.806667)
"9","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.3947, 37.798332)
"10","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.39, 37.793056)
"11","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.39, 37.785278)
"12","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.3894, 37.777222)
"13","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.3914, 37.775555)
"14","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.3939, 37.773888)
"15","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.396111, 37.771944)
"16","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.3975, 37.770279)
"17","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.395, 37.771389)
"18","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.3911, 37.775002)
"19","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.385278, 37.764722)
"20","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.38, 37.761112)
"21","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.3803, 37.757778)
"22","SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF","750 PHELPS STREET","SAN FRANCISCO","CA",400,NA,NA,NA,c(-122.3861, 37.747776)
