GEOID,NAME,total_population,B17021_001M,below_poverty,B17021_002M,pct_below_poverty
00601,ZCTA5 00601,16676,480,10199,769,61.15975053969777
00602,ZCTA5 00602,37419,268,17504,1664,46.77837462251797
00603,ZCTA5 00603,47655,1025,22683,1437,47.598363235757
00606,ZCTA5 00606,5435,331,2984,483,54.90340386384545
00610,ZCTA5 00610,25312,378,11145,1123,44.03049936788875
00611,ZCTA5 00611,1522,410,610,221,40.07884362680683
00612,ZCTA5 00612,61759,2066,25221,1721,40.83777263232889
00616,ZCTA5 00616,9824,1253,4383,842,44.615228013029316
00617,ZCTA5 00617,22669,205,10185,1103,44.92919846486391
00622,ZCTA5 00622,7903,894,3517,647,44.50208781475389
00623,ZCTA5 00623,38931,899,14496,1272,37.235108268474995
00624,ZCTA5 00624,21324,561,10916,1010,51.19114612643031
00627,ZCTA5 00627,32565,135,12696,1219,38.98664210041456
00631,ZCTA5 00631,1338,380,739,283,55.231689088191324
00636,ZCTA5 00636,1071,488,841,420,78.52474323062559
00637,ZCTA5 00637,22775,247,10146,939,44.548847420417125
00638,ZCTA5 00638,17363,281,10040,823,57.824108736969414
00641,ZCTA5 00641,23831,655,12807,1034,53.7409256850321
00646,ZCTA5 00646,36013,198,10583,1410,29.38661039069225
00647,ZCTA5 00647,4595,626,2852,622,62.06746463547334
00650,ZCTA5 00650,13419,481,7090,826,52.83553170877114
00652,ZCTA5 00652,4484,940,1472,523,32.8278322925959
00653,ZCTA5 00653,8503,610,5632,651,66.23544631306598
00656,ZCTA5 00656,17738,397,8695,627,49.0190551358665
00659,ZCTA5 00659,37080,351,13713,1336,36.982200647249194
00660,ZCTA5 00660,15326,67,6171,727,40.26490930444995
00662,ZCTA5 00662,40333,711,18888,1768,46.830139092058616
00664,ZCTA5 00664,14776,151,8160,816,55.224688684353005
00667,ZCTA5 00667,23058,307,12174,1164,52.79729378090033
00669,ZCTA5 00669,27224,506,14988,1094,55.054363796650016
00670,ZCTA5 00670,8493,187,4574,633,53.85611680207229
00674,ZCTA5 00674,39064,370,18162,1438,46.492934671308625
00676,ZCTA5 00676,36529,534,16834,1372,46.08393331325796
00677,ZCTA5 00677,15408,144,6870,843,44.587227414330215
00678,ZCTA5 00678,24799,472,11209,1339,45.19940320174201
00680,ZCTA5 00680,42082,1545,22153,1385,52.64245995912742
00682,ZCTA5 00682,29526,1474,15900,1248,53.85084332452753
00683,ZCTA5 00683,29107,597,14721,1475,50.5754629470574
00685,ZCTA5 00685,40109,747,20937,1639,52.200254307013395
00687,ZCTA5 00687,28505,4,13879,1126,48.68970356077881
00688,ZCTA5 00688,10549,1206,5691,947,53.94824153948241
00690,ZCTA5 00690,6275,1032,3108,876,49.52988047808765
00692,ZCTA5 00692,32478,780,13201,1244,40.645975737422255
00693,ZCTA5 00693,55378,916,23418,1399,42.287551013037664
00694,ZCTA5 00694,125,100,59,59,47.199999999999996
00698,ZCTA5 00698,32775,417,14695,1075,44.836003051106026
00703,ZCTA5 00703,24573,575,10963,1150,44.61400724372279
00704,ZCTA5 00704,6348,918,2788,724,43.91934467548834
00705,ZCTA5 00705,24448,131,10901,1087,44.58851439790576
00707,ZCTA5 00707,10392,99,5520,699,53.11778290993071
00714,ZCTA5 00714,15545,5,8463,880,54.441942746863944
00715,ZCTA5 00715,2003,775,1329,570,66.35047428856716
00716,ZCTA5 00716,27608,1689,13557,1499,49.10533178788757
00717,ZCTA5 00717,14484,1188,7520,1046,51.91935929301298
00718,ZCTA5 00718,23092,80,11068,1253,47.93001905421791
00719,ZCTA5 00719,29519,338,15034,1510,50.92990954978149
00720,ZCTA5 00720,20846,240,10894,952,52.259426268828555
00723,ZCTA5 00723,15809,99,7528,731,47.61844518944905
00725,ZCTA5 00725,75736,2398,30008,1946,39.621844301257
00727,ZCTA5 00727,53220,2113,16884,1749,31.724915445321304
00728,ZCTA5 00728,34841,1873,18025,1536,51.735024827071555
00729,ZCTA5 00729,47562,836,15732,1359,33.07682603759304
00730,ZCTA5 00730,31604,1517,16527,1483,52.29401341602329
00731,ZCTA5 00731,10176,1193,5744,1044,56.44654088050315
00735,ZCTA5 00735,11083,74,4630,642,41.77569250203014
00736,ZCTA5 00736,45467,822,16803,1234,36.956473926144234
00738,ZCTA5 00738,29659,493,12093,1037,40.77345830945075
00739,ZCTA5 00739,34500,866,12705,1261,36.826086956521735
00740,ZCTA5 00740,1959,496,1021,370,52.118427769270035
00741,ZCTA5 00741,3721,662,1901,609,51.08841709217952
00745,ZCTA5 00745,46643,342,17184,1473,36.841541067255534
00751,ZCTA5 00751,19524,904,9591,1050,49.124154886293795
00754,ZCTA5 00754,36682,312,16503,1373,44.989368082438254
00757,ZCTA5 00757,19956,76,9079,1080,45.49508919623171
00765,ZCTA5 00765,8147,21,4850,632,59.53111574812815
00766,ZCTA5 00766,21721,100,9081,937,41.807467427834816
00767,ZCTA5 00767,30406,293,14928,1110,49.095573242123265
00769,ZCTA5 00769,33821,268,17703,1503,52.34321871026877
00771,ZCTA5 00771,35049,473,13290,1619,37.91834289138064
00772,ZCTA5 00772,16950,717,8711,864,51.392330383480825
00773,ZCTA5 00773,17594,40,7707,902,43.8047061498238
00775,ZCTA5 00775,1281,215,267,111,20.843091334894616
00777,ZCTA5 00777,37193,291,12557,1541,33.76172935767483
00778,ZCTA5 00778,40231,95,12871,1469,31.992741915438344
